Title: WASP-2 T100 Light Curve on 2020-10-25
Authors: Basturk et al. (2021)
Table:
================================================================================
Byte-by-byte Description of file: wasp2_20201025_T100.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label    Explanations
--------------------------------------------------------------------------------
   1- 14 F14.6  d       BJD-TDB  Barycentric Dynamical Time in Julian Days
  16- 23 F8.6   ---     Flux     Normalized Flux
  25- 32 F8.6   ---     FluxErr  Error in Normalized Flux Units
--------------------------------------------------------------------------------
Note (1):   Johnson-R
Note (2):   ***OR REMOVE THIS SECTION***
--------------------------------------------------------------------------------
2459148.167011 1.001165 0.001646 
2459148.169031 0.999722 0.001510 
2459148.171050 1.000820 0.001453 
2459148.173069 0.999046 0.001375 
2459148.175025 1.000462 0.001350 
2459148.176984 1.000189 0.001339 
2459148.178941 0.998542 0.001322 
2459148.180898 1.000380 0.001318 
2459148.182854 0.998257 0.001328 
2459148.184811 1.000180 0.001298 
2459148.186767 1.001650 0.001303 
2459148.188723 1.001970 0.001293 
2459148.190680 1.001375 0.001284 
2459148.192638 0.998794 0.001267 
2459148.194597 0.999896 0.001276 
2459148.196554 1.000517 0.001259 
2459148.198513 0.997838 0.001246 
2459148.200470 1.000751 0.001242 
2459148.202427 0.997866 0.001229 
2459148.204388 0.997454 0.001221 
2459148.206346 0.995370 0.001221 
2459148.208304 0.989895 0.001209 
2459148.210257 0.988793 0.001201 
2459148.212213 0.988306 0.001192 
2459148.214165 0.987381 0.001196 
2459148.216118 0.984462 0.001260 
2459148.218073 0.986556 0.001208 
2459148.220023 0.984015 0.001200 
2459148.221972 0.984839 0.001238 
2459148.223922 0.984767 0.001298 
2459148.225872 0.983254 0.001225 
2459148.227824 0.983978 0.001204 
2459148.229780 0.983020 0.001276 
2459148.231735 0.983716 0.001281 
2459148.233691 0.982379 0.001311 
2459148.235646 0.983373 0.001447 
2459148.237602 0.984647 0.001459 
2459148.239559 0.984602 0.001539 
2459148.241519 0.985858 0.001710 
2459148.243480 0.979979 0.002020 
2459148.245444 0.981558 0.001833 
2459148.247408 0.981372 0.001897 
2459148.249375 0.981720 0.001705 
2459148.251340 0.987148 0.001769 
2459148.253301 0.984779 0.001701 
2459148.255268 0.986707 0.001680 
2459148.257232 0.986717 0.001685 
2459148.259191 0.986940 0.001796 
2459148.261157 0.986590 0.001838 
2459148.263117 0.992136 0.001821 
2459148.265075 0.990986 0.001664 
2459148.267034 0.993175 0.001988 
2459148.269000 0.994750 0.001954 
2459148.270965 0.994571 0.002278 
2459148.272931 0.997072 0.002464 
2459148.278830 1.003458 0.002952 
2459148.280796 1.001173 0.002842 
2459148.282760 0.994833 0.003053 
2459148.284723 1.002984 0.005371 
2459148.288656 1.007290 0.005044 
2459148.290622 1.005957 0.003441 
2459148.292588 0.996905 0.002507 
2459148.294555 1.005627 0.002982 
