0               1         2               3         4     5          6          7      8           9         10        11        12        13        14        15        16    17     18        19           20       21    22                                                               23
2455796.454240  0.000774  2455796.454151  0.000850  640   0.002750   0.001785   Clear  Database    0.022308  0.000576  0.125476  0.109004  0.001548  0.016472  0.002680  0.74  3.00   0.004771  0.670741     BC00000  0     data/exo/HAT-P-32/Database/2011-08-22_ETD5/                      http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455843.751753  0.000769  2455843.751360  0.000750  662   0.000087   -0.000887  I      Database    0.020087  0.000475  0.129583  0.110442  0.001539  0.019141  0.002665  0.64  5.21   0.005343  1.933330     BC00000  0     data/exo/HAT-P-32/Database/2011-10-09_ETD9/                      http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455852.351390  0.000747  2455852.350640  0.000720  666   -0.000308  -0.001283  R      Database    0.023903  0.000503  0.135414  0.113156  0.001495  0.022258  0.002589  0.56  2.03   0.003410  1548.036400  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx               yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455856.651496  0.000229  2455856.651900  0.000260  668   -0.000218  -0.001194  Clear  Database    0.021904  0.000163  0.129502  0.112637  0.000457  0.016865  0.000792  0.45  2.27   0.002160  0.048401     BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx               yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455856.652081  0.000256  2455856.652080  0.000290  668   0.000367   -0.000609  Clear  Database    0.023031  0.000187  0.130330  0.112662  0.000513  0.017668  0.000888  0.42  4.94   0.003413  0.735907     BC00000  0     data/exo/HAT-P-32/Database/2011-10-24_ETD12/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455856.652528  0.000531  2455856.652690  0.000580  668   0.000814   -0.000162  V      Database    0.022068  0.000375  0.131246  0.114098  0.001062  0.017148  0.001840  0.50  2.45   0.003514  0.973386     BC00000  0     data/exo/HAT-P-32/Database/2011-11-09_ETD13/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455858.801145  0.000389  2455858.802491  0.000270  669   -0.000577  -0.001553  Clear  Database    0.020237  0.000264  0.127199  0.111195  0.000777  0.016004  0.001346  1.61  3.08   0.003701  2.246463     BC00000  0     data/exo/HAT-P-32/Database/2011-11-09_ETD15/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455860.953042  0.000324  2455860.952691  0.000350  670   0.001312   0.000335   Clear  Database    0.024377  0.000248  0.130235  0.112120  0.000647  0.018115  0.001121  0.47  4.08   0.003420  0.666358     BC00000  0     data/exo/HAT-P-32/Database/2011-11-06_ETD16/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455880.302171  0.000336  2455880.301930  0.000400  679   0.000369   -0.000611  Clear  Database    0.025764  0.000276  0.126490  0.108309  0.000672  0.018181  0.001164  0.97  0.91   0.001688  393.908690   BC00010  1     data/exo/HAT-P-32/Database/2011-11-14_ETD17/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455923.301531  0.001059  2455923.299971  0.001080  699   -0.000431  -0.001419  B      Database    0.020417  0.000711  0.129394  0.113050  0.002118  0.016343  0.003668  1.48  1.82   0.003516  0.740810     BC00000  0     data/exo/HAT-P-32/Database/2012-11-15_ETD21/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455942.654313  0.000495  2455942.654191  0.000590  708   0.002279   0.001287   Clear  Database    0.021109  0.000335  0.131969  0.115057  0.000990  0.016913  0.001715  0.33  6.50   0.005242  2.556487     BC00000  0     data/exo/HAT-P-32/Database/2012-01-26_ETD24/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2455981.354099  0.000889  2455981.354870  0.001660  726   0.001921   0.000922   V      Database    0.024716  0.000643  0.140514  0.121232  0.001778  0.019282  0.003080  1.27  1.30   0.003212  0.129389     BC00000  0     data/exo/HAT-P-32/Database/2012-02-23_ETD28/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
