0               1         2               3         4     5          6          7      8           9         10        11        12        13        14        15        16    17    18        19        20       21    22                                                  23
2455994.621635  0.000976  2455994.620566  0.001060  126   0.001519   -0.000600  Clear  Database    0.022704  0.000904  0.093300  0.077862  0.001953  0.015437  0.003382  0.70  3.73  0.005961  0.452150  BC00000  0     data/exo/HAT-P-37/Database/2012-03-07_ETD-2/        http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456078.547433  0.000925  2456078.547267  0.001020  156   0.004237   0.001963   Clear  Database    0.017722  0.000752  0.091939  0.080094  0.001849  0.011845  0.003203  0.65  2.22  0.004246  1.004965  BC00000  0     data/exo/HAT-P-37/Database/2012-05-30_ETD-3/        http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456092.536853  0.000801  2456092.537897  0.001270  161   0.006477   0.004177   Clear  Database    0.016210  0.000564  0.094178  0.081098  0.001602  0.013080  0.002774  0.71  2.44  0.003781  0.847042  BC00001  1     data/exo/HAT-P-37/Database/2012-06-13_ETD-4/        http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456120.510520  0.000498  2456120.509908  0.000650  171   0.005784   0.003433   Clear  Database    0.020190  0.000442  0.097344  0.085200  0.000995  0.012144  0.001724  0.71  1.81  0.002977  1.081785  BC00001  1     data/exo/HAT-P-37/Database/2012-07-11_ETD-6/        http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456156.873995  0.000847  2456156.873899  0.001110  184   0.002591   0.000173   Clear  Database    0.019032  0.000733  0.095264  0.083684  0.001695  0.011580  0.002935  0.47  5.64  0.006727  0.722882  BC00000  0     data/exo/HAT-P-37/Database/2012-08-17_ETD-7/        http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456162.469118  0.001391  2456162.468109  0.003200  186   0.002842   0.000414   Clear  Database    0.023446  0.001048  0.114843  0.094294  0.002783  0.020549  0.004820  0.80  9.08  0.009981  6.632165  BC00000  0     data/exo/HAT-P-37/Database/2012-08-22_ETD-8/        http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456391.859836  0.000848  2456391.860570  0.000970  268   0.003808   0.000957   Clear  Database    0.020261  0.000635  0.099470  0.081526  0.001696  0.017943  0.002937  0.81  4.97  0.005870  0.679255  BC00000  0     data/exo/HAT-P-37/Database/2013-04-09_ETD-11/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456411.440608  0.000792  2456411.440380  0.000960  275   0.002528   -0.000359  Clear  Database    0.023161  0.000712  0.096958  0.080440  0.001584  0.016518  0.002744  0.62  5.51  0.006626  0.773316  BC00000  0     data/exo/HAT-P-37/Database/2013-04-28_ETD-13/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456447.806885  0.000699  2456447.805831  0.000800  288   0.002137   -0.000817  Clear  Database    0.023844  0.000532  0.108260  0.085162  0.001399  0.023098  0.002422  0.73  4.88  0.005240  0.236053  BC00000  0     data/exo/HAT-P-37/Database/2013-06-04_ETD-15/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456447.807713  0.000417  2456447.806991  0.000660  288   0.002965   0.000011   R      Database    0.019640  0.000291  0.101081  0.081599  0.000834  0.019481  0.001445  0.82  1.27  0.001925  6.361678  BC00000  0     data/exo/HAT-P-37/Database/2013-06-04_ETD-16/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456453.403785  0.000978  2456453.402611  0.001010  290   0.004165   0.001201   Clear  Database    0.020356  0.000696  0.100212  0.079708  0.001955  0.020504  0.003387  0.42  5.39  0.006255  0.627354  BC00000  0     data/exo/HAT-P-37/Database/2013-06-09_ETD-17/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456503.753199  0.000763  2456503.753511  0.001040  308   -0.000269  -0.003326  Clear  Database    0.016609  0.000555  0.097377  0.085119  0.001527  0.012258  0.002644  0.37  3.81  0.004884  0.983678  BC00001  1     data/exo/HAT-P-37/Database/2013-07-30_ETD-18/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456562.501997  0.000987  2456562.501881  0.001070  329   0.002373   -0.000792  R      Database    0.016607  0.000821  0.088675  0.078528  0.001974  0.010147  0.003420  0.80  2.57  0.004406  1.773468  BC00000  0     data/exo/HAT-P-37/Database/2013-09-26_ETD-20/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456713.564763  0.000868  2456713.563651  0.001500  383   0.003595   0.000152   Clear  Database    0.020179  0.000818  0.091615  0.080192  0.001736  0.011423  0.003006  0.49  4.79  0.006295  3.348942  BC00000  0     data/exo/HAT-P-37/Database/2014-02-24_ETD-21/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456727.548348  0.001309  2456727.548391  0.001430  388   -0.000000  -0.003469  Clear  Database    0.015887  0.001055  0.082190  0.071287  0.002618  0.010903  0.004534  0.74  5.58  0.007654  2.252426  BC00001  1     data/exo/HAT-P-37/Database/2014-03-14_ETD-22/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456811.475004  0.001100  2456811.474791  0.001000  418   0.003576   -0.000048  R      Database    0.020815  0.000803  0.097693  0.076378  0.002200  0.021315  0.003811  1.10  1.83  0.003619  0.943223  BC00000  0     data/exo/HAT-P-37/Database/2014-06-02_ETD-24/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
