0               1         2               3         4      5          6          7            8           9         10        11        12        13        14        15        16    17     18        19         20       21    22                                                  23
2456771.506506  0.001015  2456771.507263  0.001000  -800   -0.004295  -0.001405  Clear        Database    0.010954  0.000434  0.108398  0.094497  0.002029  0.013901  0.003515  0.64  1.68   0.003016  0.704528   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456846.475935  0.001260  2456846.476821  0.001380  -719   -0.003768  -0.001177  V            Database    0.015915  0.000578  0.128523  0.105755  0.002520  0.022768  0.004364  1.51  1.88   0.003525  0.126721   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457117.651731  0.002295  2457117.661562  0.001830  -426   -0.011778  -0.010265  Clear        Database    0.008962  0.000869  0.094250  0.080297  0.004590  0.013953  0.007950  1.62  3.87   0.005995  2.906859   BC00001  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457180.596997  0.001199  2457180.596790  0.001710  -358   -0.003368  -0.002105  R            Database    0.016862  0.000709  0.110413  0.092898  0.002399  0.017514  0.004154  1.14  1.12   0.002767  0.377974   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457181.527617  0.001466  2457181.526100  0.001260  -357   0.001710   0.002969   R            Database    0.213328  0.000935  0.186564  0.093282  0.002931  0.093282  0.005077  3.86  2.93   0.005292  0.456461   BC01011  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457504.541199  0.000975  2457504.540691  0.000910  -8     0.001134   0.001108   Clear        Database    0.011403  0.000470  0.109451  0.098011  0.001950  0.011440  0.003378  1.11  1.45   0.002934  0.242459   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457517.496595  0.000998  2457517.496441  0.001090  6      -0.001058  -0.001135  Clear        Database    0.012997  0.000514  0.115962  0.103676  0.001997  0.012286  0.003458  0.30  6.94   0.006894  2.914016   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457517.495615  0.001246  2457517.497511  0.001180  6      -0.002038  -0.002115  Clear        Database    0.015464  0.000590  0.121012  0.099585  0.002492  0.021427  0.004316  0.60  10.84  0.008592  3.114643   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457530.454905  0.001039  2457530.454760  0.001170  20     -0.000336  -0.000465  Clear        Database    0.012615  0.000526  0.115242  0.103193  0.002078  0.012049  0.003599  0.70  2.23   0.003926  1.217161   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457851.620300  0.000971  2457851.618673  0.001040  367    0.001985   0.000579   Clear        Database    0.013170  0.000508  0.115330  0.103036  0.001943  0.012293  0.003365  0.84  1.47   0.003064  0.250418   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457876.609147  0.000753  2457876.608372  0.000860  394    0.001198   -0.000307  Clear        Database    0.013685  0.000353  0.119800  0.103289  0.001505  0.016510  0.002607  0.80  1.11   0.002118  0.131585   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
