0               1         2               3         4     5          6          7      8           9         10        11        12        13        14        15        16    17     18        19          20       21    22                                                  23
2454932.522035  0.001538  2454932.522208  0.001310  209   -0.000680  -0.001012  Clear  Database    0.019067  0.000616  0.145087  0.099720  0.003075  0.045367  0.005326  1.81  4.94   0.005932  2.537701    BC00010  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2454932.522035  0.001394  2454932.523198  0.001050  209   -0.000680  -0.001012  Clear  Database    0.014361  0.000516  0.134648  0.106321  0.002789  0.028327  0.004830  1.00  3.29   0.004496  3.619836    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2454932.525086  0.001422  2454932.524568  0.001370  209   0.002371   0.002039   I      Database    0.009434  0.000452  0.121577  0.104726  0.002845  0.016851  0.004927  0.48  2.25   0.003637  1.025159    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2454950.473593  0.001437  2454950.474469  0.001790  217   0.000758   0.000413   R      Database    0.009563  0.000569  0.119072  0.108303  0.002875  0.010769  0.004979  0.83  0.97   0.002720  0.400908    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2454950.475665  0.001125  2454950.474579  0.001380  217   0.002830   0.002485   Clear  Database    0.011495  0.000475  0.114904  0.100080  0.002251  0.014824  0.003898  1.23  0.98   0.002453  2.349897    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455264.602440  0.000934  2455264.601707  0.001270  357   0.002505   0.001933   R      Database    0.008688  0.000338  0.113998  0.102753  0.001868  0.011245  0.003235  0.57  1.16   0.002127  1.280806    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455302.745679  0.001034  2455302.746388  0.001040  374   0.001739   0.001139   R      Database    0.007960  0.000378  0.107493  0.097797  0.002069  0.009697  0.003583  0.40  2.99   0.004090  1.147474    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455318.449960  0.000993  2455318.450998  0.000850  381   -0.000335  -0.000946  Clear  Database    0.007482  0.000267  0.114754  0.099075  0.001987  0.015679  0.003441  0.82  1.52   0.002313  1.416199    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455650.525881  0.000695  2455650.525173  0.000700  529   -0.001634  -0.002485  R      Database    0.009908  0.000267  0.117408  0.104685  0.001390  0.012723  0.002408  0.28  3.28   0.003428  1.559513    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455650.526147  0.000629  2455650.525653  0.000670  529   -0.001368  -0.002219  R      Database    0.009935  0.000252  0.116568  0.104867  0.001258  0.011700  0.002178  0.93  0.81   0.001545  1.383165    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455650.528705  0.000590  2455650.527883  0.000760  529   0.001190   0.000339   Clear  Database    0.005591  0.000168  0.108680  0.101007  0.001180  0.007673  0.002044  0.55  1.37   0.001692  2.697687    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455668.479713  0.000876  2455668.478953  0.001050  537   0.002078   0.001214   R      Database    0.008034  0.000324  0.110984  0.101715  0.001752  0.009269  0.003035  0.34  6.16   0.005042  3.409038    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455973.621554  0.000717  2455973.620022  0.000830  673   -0.008121  -0.009206  R      Database    0.026616  0.000501  0.115061  0.077947  0.001433  0.037114  0.002482  1.49  1.87   0.003067  0.011086    BC00011  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456000.555374  0.001038  2456000.555702  0.001570  685   0.000519   -0.000586  Clear  Database    0.008498  0.000386  0.115556  0.105654  0.002076  0.009902  0.003596  0.23  1.93   0.002958  1.124567    BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
