0               1         2               3         4     5          6          7      8           9         10        11        12        13        14        15        16    17     18        19        20       21    22                                                  23
2458225.647597  0.000353  2458225.647530  0.008920  807   0.009600   0.002156   R      Literature  0.013878  0.000173  0.130430  0.116641  0.000706  0.013789  0.001223  1.31  1.05   0.001559  0.719162  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2458243.533125  0.000374  2458243.531840  0.001250  812   0.007773   0.000312   R      Literature  0.014363  0.000186  0.132453  0.118233  0.000749  0.014220  0.001297  1.13  1.15   0.001670  0.212802  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455678.480895  0.001168  2455678.480624  0.001100  95    0.002250   -0.002851  Clear  Database    0.019251  0.000466  0.161233  0.123567  0.002335  0.037666  0.004045  0.82  4.68   0.005319  2.415887  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455692.791208  0.001110  2455692.790874  0.000800  99    0.002679   -0.002436  Clear  Database    0.013095  0.000511  0.132262  0.118637  0.002220  0.013625  0.003844  0.90  5.81   0.005974  0.655882  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456050.537874  0.001009  2456050.539104  0.000820  199   0.002245   -0.003199  Clear  Database    0.016859  0.000417  0.138306  0.107233  0.002018  0.031072  0.003496  1.08  2.16   0.003138  0.066822  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456093.476440  0.001223  2456093.471154  0.001530  211   0.011159   0.005676   R      Database    0.017618  0.000792  0.119424  0.105395  0.002445  0.014029  0.004235  1.16  2.38   0.004261  0.220303  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456454.798994  0.001674  2456454.796618  0.002330  312   0.009142   0.003327   Clear  Database    0.022343  0.000983  0.155452  0.133787  0.003349  0.021665  0.005800  1.12  2.71   0.005778  6.005709  BC00010  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2458590.548517  0.000737  2458590.549061  0.000870  909   0.008478   0.000698   Clear  Database    0.014373  0.000355  0.129676  0.114121  0.001473  0.015555  0.002552  1.14  1.22   0.002369  1.764634  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2458633.478245  0.001034  2458633.478493  0.001060  921   0.008554   0.000735   R      Database    0.018855  0.000591  0.125291  0.104486  0.002068  0.020805  0.003582  1.38  2.05   0.003586  0.303308  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457871.476635  0.000417  2457871.476635  0.000417  708   0.008267   0.001148   R      ThisStudy   0.014501  0.000198  0.134794  0.119115  0.000833  0.015679  0.001443  0.62  0.97   0.001505  1.590847  BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
