0               1         2               3         4    5         6          7      8           9         10        11        12        13        14        15        16    17     18        19         20       21    22                                                  23
2457628.749156  0.000584  2457628.748552  0.000520  486  0.000551  -0.000305  clear  Database    0.016438  0.000349  0.091019  0.069139  0.001167  0.021880  0.002022  0.84  2.98   0.003174  0.238669   BC00000  0     data/all/WASP-69\Database\2016-08-27_ETD6\          http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-69&PLANET=b
2458727.299989  0.000559  2458727.300020  0.000570  770  0.000135  -0.000436  clear  Database    0.017673  0.000329  0.096268  0.070873  0.001118  0.025395  0.001936  0.80  7.34   0.004862  1.060630   BC00000  0     data/all/WASP-69\Database\2019-08-31_ETD10\         http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-69&PLANET=b
2458754.377114  0.000421  2458754.377389  0.000580  777  0.000293  -0.000271  V      Database    0.019026  0.000269  0.101650  0.079304  0.000841  0.022345  0.001457  0.95  3.87   0.003379  0.890599   BC00000  0     data/all/WASP-69\Database\2019-09-27_ETD12\         http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-69&PLANET=b
2459044.489124  0.000896  2459044.488852  0.001080  852  0.001938  0.001449   V      Database    0.015015  0.000778  0.078324  0.069756  0.001791  0.008568  0.003103  0.91  2.55   0.004098  20.631958  BC00010  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2455845.539241  0.000173  0.000000        0.000000  25   0.002346  0.001028   r      Literature  0.015715  0.000112  0.088335  0.072150  0.000346  0.016185  0.000598  0.70  1.46   0.001324  1.898051   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456069.889982  0.000328  0.000000        0.000000  83   0.001071  -0.000188  z      Literature  0.013859  0.000255  0.081344  0.072561  0.000657  0.008784  0.001137  0.24  10.76  0.005119  2.412139   BC00010  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457257.407761  0.000155  2457257.407761  0.000155  390  0.000423  -0.000529  I      ThisStudy   0.017988  0.000105  0.092946  0.073845  0.000310  0.019101  0.000536  0.24  0.97   0.000999  7.576137   BC00000  0     data/all/WASP-69\Our\2015-08-22_CAHA\               yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457284.484812  0.000162  2457284.484812  0.000162  397  0.000507  -0.000438  I      ThisStudy   0.018061  0.000109  0.093435  0.073850  0.000324  0.019585  0.000562  0.45  0.96   0.000996  10.438170  BC00000  0     data/all/WASP-69\Our\2015-09-18_CAHA\               yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457640.353797  0.000241  2457640.353797  0.000241  489  0.000777  -0.000075  i      ThisStudy   0.018043  0.000163  0.094000  0.075094  0.000482  0.018907  0.000835  0.22  2.20   0.001808  4.874749   BC00000  0     data/all/WASP-69\Our\2016-09-08_CAHA\               yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457671.298629  0.000301  2457671.298629  0.000301  497  0.000504  -0.000341  R      ThisStudy   0.017987  0.000202  0.093612  0.074325  0.000602  0.019287  0.001042  0.50  0.81   0.001206  2.088934   BC00000  0     data/all/WASP-69\Our\2016-10-09_T100\               yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457992.354849  0.000199  2457992.354849  0.000199  580  0.001253  0.000492   I      ThisStudy   0.017601  0.000134  0.092244  0.073475  0.000399  0.018769  0.000691  0.83  0.48   0.000776  3.607921   BC00000  0     data/all/WASP-69\Our\2017-08-26_T100\               yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2458692.486662  0.000519  2458692.486662  0.000519  761  0.000052  -0.000528  R      ThisStudy   0.017934  0.000349  0.092629  0.073170  0.001038  0.019459  0.001799  0.44  5.49   0.004276  1.408714   BC00000  0     data/all/WASP-69\Our\2019-07-27_T35\                yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2458723.431989  0.000381  2458723.431989  0.000381  769  0.000273  -0.000299  R      ThisStudy   0.017755  0.000259  0.092636  0.074220  0.000761  0.018416  0.001319  0.11  6.33   0.004008  1.133418   BC00000  0     data/all/WASP-69\Our\2019-08-27_T35\                yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2459106.378310  0.000748  2459106.378952  0.000760  868  0.000912  0.000440   R      Database    0.017155  0.000525  0.085229  0.067531  0.001497  0.017698  0.002592  1.38  1.01   0.002092  0.588238   BC00000  0     data/all/WASP-69\Database\2020-09-13_ETD15\         http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-69&PLANET=b
