0               1         2               3         4     5          6          7       8           9         10        11        12        13        14        15        16    17    18        19         20       21    22                                                  23
2458362.460749  0.000630  2458362.460250  0.001070  868   0.001949   -0.000639  V       Database    0.011881  0.000237  0.105926  0.081510  0.001260  0.024416  0.002182  0.35  2.19  0.002298  5.091852   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2458704.503367  0.000652  2458704.503209  0.000890  1028  0.004567   0.001819   Clear   Database    0.018332  0.000372  0.103068  0.075862  0.001304  0.027206  0.002259  0.49  6.80  0.005060  1.032178   BC00010  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2459046.545400  0.000962  2459046.547213  0.001570  1188  0.006600   0.003692   R       Database    0.008894  0.000415  0.078349  0.065369  0.001924  0.012981  0.003332  0.15  1.65  0.002501  9.236743   BC00001  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456055.827695  0.000495  0.000000        0.000000  -211  0.001145   -0.000366  z       Literature  0.010276  0.000161  0.100373  0.073270  0.000990  0.027103  0.001715  0.19  4.24  0.002645  1.123087   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456070.790391  0.000431  0.000000        0.000000  -204  -0.000409  -0.001927  Rg      Literature  0.009783  0.000129  0.102497  0.073782  0.000862  0.028714  0.001492  0.13  1.57  0.001484  2.589125   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456070.791002  0.000587  0.000000        0.000000  -204  0.000202   -0.001316  z       Literature  0.009307  0.000193  0.097202  0.076164  0.001175  0.021037  0.002035  0.12  5.29  0.003317  1.280252   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456100.720472  0.000757  0.000000        0.000000  -190  0.001172   -0.000360  z       Literature  0.008582  0.000212  0.098511  0.072807  0.001515  0.025704  0.002624  0.13  6.45  0.004024  1.711679   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456102.858860  0.000383  0.000000        0.000000  -189  0.001810   0.000277   z       Literature  0.008472  0.000108  0.097641  0.072729  0.000765  0.024912  0.001326  0.17  3.02  0.001786  0.495208   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2456175.543402  0.000408  0.000000        0.000000  -155  0.002852   0.001285   z       Literature  0.012530  0.000233  0.102634  0.092227  0.000815  0.010407  0.001412  0.66  9.42  0.004527  3.401214   BC00010  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457173.872013  0.000136  2457173.871700  0.000170  312   0.002213   0.000180   I       Literature  0.008516  0.000036  0.101650  0.073834  0.000272  0.027816  0.000472  0.49  0.27  0.000324  1.323052   BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
