          0         1            2         3     4          5          6  7             8                  9        10        11        12        13        14        15    16     17        18        19  20         21  22
2.4587e+06   0.0003    2.4587e+06   0.00035   3172   0.009679   0.001389  Clear         Database    0.013714  0.00019   0.094596  0.083333  0.000601  0.011263  0.00104   0.89   0.9   0.0013    6.22569   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45873e+06  0.000582  2.45873e+06  0.00065   3199   0.009268   0.000916  V             Database    0.014349  0.000367  0.092527  0.079492  0.001164  0.013035  0.002016  0.63   3.01  0.003329  2.0847    BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45874e+06  0.00035   2.45874e+06  0.00037   3209   0.009545   0.001169  V             Database    0.014065  0.000229  0.094829  0.083765  0.0007    0.011064  0.001212  0.98   1.08  0.001628  1.35872   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45876e+06  0.000375  2.45876e+06  0.00042   3218   0.008869   0.000473  Clear         Database    0.013177  0.000245  0.091199  0.081169  0.00075   0.01003   0.001299  0.86   1.18  0.001584  3.56481   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45578e+06  0.000837  2.45578e+06  0.00085    762   0.001988  -0.00072   Clear         Database    0.012139  0.000538  0.088627  0.079672  0.001675  0.008954  0.002901  0.57   2.47  0.003564  0.724193  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45578e+06  0.000592  2.45578e+06  0.00051    768   0.003456   0.000734  Clear         Database    0.015373  0.000291  0.102269  0.076642  0.001185  0.025627  0.002052  1.33   2.79  0.002857  0.936193  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45584e+06  0.000517  2.45584e+06  0.00063    813   0.002011  -0.000815  Clear         Database    0.012698  0.000332  0.092075  0.082583  0.001034  0.009493  0.001791  0.94   3.02  0.003247  0.626859  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45613e+06  0.000538  2.45613e+06  0.0006    1053   0.002415  -0.000967  Clear         Database    0.012743  0.000345  0.0902    0.080353  0.001077  0.009847  0.001865  0.82   2.73  0.003198  1.4118    BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45613e+06  0.000681  2.45613e+06  0.00068   1053   0.003045  -0.000337  R             Database    0.013639  0.000368  0.097746  0.082255  0.001363  0.015491  0.002361  0.98   1.8   0.002898  2.41672   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45614e+06  0.000448  2.45614e+06  0.00047   1058   0.003631   0.000237  R             Database    0.012369  0.000242  0.094578  0.081734  0.000897  0.012844  0.001553  0.81   1.75  0.002003  1.09526   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45616e+06  0.00085   2.45616e+06  0.0009    1081   0.005639   0.002192  Clear         Database    0.010416  0.000477  0.089818  0.081348  0.001701  0.00847   0.002946  1.27   1.56  0.002768  0.539883  BC00011     1  iiiixiiiixiiiixiiiixiiiix
2.45619e+06  0.000815  2.45619e+06  0.0009    1100   0.002053  -0.001438  R             Database    0.014697  0.000555  0.097588  0.086848  0.00163   0.01074   0.002823  0.95   2.18  0.003246  0.173672  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45684e+06  0.000469  2.45684e+06  0.00059   1637   0.004292  -0.000443  Clear         Database    0.012943  0.000301  0.093421  0.083707  0.000938  0.009714  0.001625  0.43   5.27  0.004109  0.956872  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45718e+06  0.00124   2.45718e+06  0.00105   1918  -0.000513  -0.005898  R             Database    0.019583  0.000729  0.105074  0.075848  0.00248   0.029226  0.004295  1.79   2.57  0.004538  0.240729  BC00011     1  iiiixiiiixiiiixiiiixiiiix
2.45727e+06  0.000417  2.45727e+06  0.00049   1992   0.006845   0.001288  Clear         Database    0.013617  0.000287  0.090858  0.081193  0.000834  0.009665  0.001444  0.8    3.1   0.003046  5.08153   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45755e+06  0.000911  2.45755e+06  0.00091   2223   0.007238   0.001146  Clear         Database    0.012088  0.00052   0.094228  0.083495  0.001822  0.010733  0.003155  0.96   1.73  0.003195  6.70535   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45757e+06  0.000593  2.45757e+06  0.00055   2237   0.006675   0.000551  Clear         Database    0.012469  0.000341  0.090844  0.078964  0.001185  0.01188   0.002053  0.94   1.22  0.001946  2.54019   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45757e+06  0.000818  2.45757e+06  0.00079   2242   0.006419   0.000283  Clear         Database    0.011609  0.000519  0.086633  0.078054  0.001636  0.008579  0.002833  0.71   1.03  0.002868  0.221853  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45758e+06  0.000828  2.45758e+06  0.00081   2251   0.008205   0.002048  Clear         Database    0.012575  0.000534  0.083422  0.072997  0.001655  0.010425  0.002867  1.19   1.37  0.00272   0.188459  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45759e+06  0.000233  2.45759e+06  0.00028   2256   0.006062  -0.000106  Clear         Database    0.014926  0.000154  0.09375   0.081278  0.000466  0.012471  0.000807  1.03   1.32  0.001467  1.24355   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45759e+06  0.000804  2.45759e+06  0.00068   2256   0.007183   0.001015  Clear         Database    0.015235  0.000427  0.100581  0.079955  0.001608  0.020627  0.002786  2.53   1.11  0.002314  0.145766  BC01000     1  iiiixiiiixiiiixiiiixiiiix
2.4576e+06   0.000484  2.4576e+06   0.00057   2265   0.007608   0.001419  Clear         Database    0.011803  0.000303  0.089166  0.08027   0.000969  0.008896  0.001678  0.85   1.16  0.001867  3.02777   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45792e+06  0.000879  2.45792e+06  0.00098   2533   0.007403   0.000593  R             Database    0.011527  0.000536  0.089683  0.080831  0.001759  0.008853  0.003046  0.92   3.02  0.004713  0.485881  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45792e+06  0.000276  2.45792e+06  0.00033   2533   0.007538   0.000728  I             Database    0.011656  0.000165  0.089019  0.079402  0.000552  0.009617  0.000956  1.04   1.7   0.001611  2.71999   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.458e+06    0.000307  2.458e+06    0.00038   2598   0.00821    0.00125   I             Database    0.014319  0.000192  0.096456  0.08396   0.000615  0.012496  0.001065  0.73   1.7   0.001843  2.40647   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45801e+06  0.0006    2.45801e+06  0.00074   2603   0.006859  -0.000113  R             Database    0.012083  0.000363  0.09365   0.084208  0.0012    0.009442  0.002078  0.8    1.16  0.002608  0.122969  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45803e+06  0.000303  2.45803e+06  0.00031   2617   0.008971   0.001967  I             Database    0.013109  0.000184  0.091454  0.079767  0.000606  0.011687  0.001049  1.49   0.79  0.001227  1.89443   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45804e+06  0.000672  2.45804e+06  0.00085   2631   0.007745   0.000708  Clear         Database    0.012817  0.000438  0.091248  0.081802  0.001344  0.009447  0.002328  1.24   1.37  0.002666  5.23202   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45831e+06  0.000486  2.45831e+06  0.00058   2848   0.00949    0.001951  Clear         Database    0.01233   0.000317  0.088417  0.079421  0.000972  0.008996  0.001683  0.57   1.41  0.002064  2.49978   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45832e+06  0.000563  2.45832e+06  0.00053   2857   0.006346  -0.001214  Clear         Database    0.014566  0.000277  0.104733  0.083934  0.001125  0.020799  0.001949  1.12   1.31  0.001911  7.03037   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45832e+06  0.000516  2.45832e+06  0.00063   2860   0.005815  -0.001752  R             Database    0.012912  0.000324  0.095238  0.085345  0.001031  0.009892  0.001787  1.07   1.06  0.001818  2.88389   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45839e+06  0.000793  2.45839e+06  0.00071   2913   0.008843   0.001153  R             Database    0.012257  0.000492  0.086744  0.076529  0.001586  0.010215  0.002747  1.22   2.47  0.003667  0.23548   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45841e+06  0.00042   2.45841e+06  0.00051   2936   0.00838    0.000637  I             Database    0.013774  0.000227  0.098084  0.082292  0.00084   0.015793  0.001456  1.95   2.13  0.00226   5.13669   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45863e+06  0.000781  2.45863e+06  0.00078   3111   0.008105  -4.4e-05   Clear         Database    0.012409  0.00043   0.093526  0.080949  0.001562  0.012577  0.002706  1.58   1.82  0.002892  2.86775   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45621e+06  0.000506  2.45621e+06  0.00063   1120   0.003784   0.000247  Sloan_r       Database    0.012431  0.000296  0.092995  0.082002  0.001012  0.010993  0.001753  0.72   3.98  0.003712  1.1081    BC00000     0  iiiixiiiixiiiixiiiixiiiix
