          0         1            2         3     4          5          6  7      8                  9        10        11        12        13        14        15    16     17        18          19  20         21  22
2.45904e+06  0.000759  2.45904e+06  0.0007    2345   0.00098   -0.001328  BB     Database    0.013197  0.000691  0.06728   0.060313  0.001517  0.006967  0.002628  0.3    2     0.004017    0.403072  BC00010     1  iiiixiiiixiiiixiiiixiiiix
2.45904e+06  0.000396  2.45904e+06  0.0003    2345   0.001989  -0.000319  Clear  Database    0.016812  0.000314  0.073336  0.057738  0.000792  0.015599  0.001371  0.55   4.03  0.003456    0.699031  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4547e+06   0.000901  2.4547e+06   0.0009     328   0.001937   0.00079   R      Database    0.020205  0.000729  0.074553  0.049152  0.001802  0.025401  0.003122  1.42   2.07  0.004087    1.94061   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45502e+06  0.001343  2.45502e+06  0.002      480   0.010018   0.008784  R      Database    0.02069   0.000925  0.095974  0.07028   0.002687  0.025694  0.004653  1.07   1.81  0.003619    1.93802   BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45501e+06  0.000868  2.45501e+06  0.0018     473   0.002829   0.001599  R      Database    0.015899  0.000731  0.07372   0.062286  0.001736  0.011434  0.003007  0.55   4.83  0.005393    1.07537   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45477e+06  0.000957  2.45477e+06  0.0013     360   0.001386   0.000221  R      Database    0.011737  0.000845  0.063162  0.056958  0.001913  0.006205  0.003314  0.95   2.1   0.004209    1.6989    BC00010     1  iiiixiiiixiiiixiiiixiiiix
2.45479e+06  0.000805  2.45479e+06  0.0015     373   0.002671   0.001498  R      Database    0.018323  0.000786  0.068807  0.056279  0.00161   0.012528  0.002789  0.73   2.21  0.003811    1.58943   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4547e+06   0.000715  2.4547e+06   0.0009     328   0.001937   0.00079   R      Database    0.017327  0.000543  0.077244  0.059815  0.001431  0.017428  0.002479  0.76   1.93  0.00302     1.44704   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45432e+06  0.000718  2.45432e+06  0          151  -0.000209  -0.001254  R      Database    0.020412  0.000592  0.077635  0.055519  0.001437  0.022116  0.002489  1.55   1.01  0.002128    1.65505   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45878e+06  0.000707  2.45878e+06  0.00065   2226   0.001674  -0.000566  R      Database    0.015674  0.00055   0.071965  0.057981  0.001413  0.013984  0.002448  0.69   0.96  0.001968    0.075778  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45874e+06  0.000317  2.45874e+06  0.00037   2207   0.003323   0.001095  I      Database    0.018858  0.000251  0.075008  0.054014  0.000634  0.020994  0.001098  0.25   2.11  0.001959    2.98673   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4587e+06   0.000578  2.4587e+06   0.00059   2187   0.008082   0.005865  Clear  Database    0.020728  0.000444  0.083879  0.059393  0.001155  0.024486  0.002001  1.06   1.56  0.002408    0.179968  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.4587e+06   0.000652  2.4587e+06   0.00064   2187  -9.6e-05   -0.002313  I      Database    0.016446  0.00052   0.073164  0.058639  0.001305  0.014526  0.00226   1.28   0.7   0.00166     1.47636   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45837e+06  0.000582  2.45837e+06  0.00056   2036   0.001889  -0.000241  Clear  Database    0.014299  0.000424  0.072218  0.059199  0.001163  0.013019  0.002014  2.08   1.57  0.002316    1.97075   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45836e+06  0.00048   2.45836e+06  0.00051   2029   0.002634   0.000508  Clear  Database    0.017467  0.000398  0.068543  0.051158  0.000961  0.017384  0.001664  0.81   1.39  0.002049    2.07832   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45832e+06  0.000337  2.45832e+06  0.00036   2010   0.001296  -0.000819  V      Database    0.018823  0.000287  0.075808  0.059312  0.000674  0.016496  0.001168  0.72   1.11  0.001792    0.468214  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45802e+06  0.000423  2.45802e+06  0.00045   1871   0.003717   0.001682  R      Database    0.018725  0.000359  0.07171   0.053567  0.000845  0.018143  0.001464  1.81   0.49  0.001124    0.878065  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45801e+06  0.000378  2.45801e+06  0.00042   1865   0.007076   0.005045  R      Database    0.019825  0.000354  0.072828  0.057207  0.000756  0.015622  0.001309  1.16   2.08  0.002479    0.116015  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45801e+06  0.000319  2.45801e+06  0.00037   1865   0.0031     0.001069  I      Database    0.022335  0.000271  0.075299  0.0435    0.000637  0.031799  0.001104  0.91   1.91  0.001967    2.33638   BC00010     1  iiiixiiiixiiiixiiiixiiiix
2.45797e+06  0.000615  2.45797e+06  0.00064   1848  -0.000314  -0.002336  Clear  Database    0.01811   0.000446  0.080415  0.059337  0.001231  0.021077  0.002131  0.81   3.3   0.003875    0.508916  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45765e+06  0.000494  2.45765e+06  0.00052   1701   0.00129   -0.000647  Clear  Database    0.017051  0.000383  0.074344  0.057592  0.000988  0.016752  0.001711  0.93   1.26  0.001923    2.41748   BC00000     0  iiiixiiiixiiiixiiiixiiiix
