          0         1            2         3     4          5          6  7      8                  9        10        11        12        13        14        15    16     17        18        19  20         21  22
2.45823e+06  0.000353  2.45823e+06  0.00892    807   0.0096     0.002156  R      Literature  0.013878  0.000173  0.13043   0.116641  0.000706  0.013789  0.001223  1.31   1.05  0.001559  0.719162  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45824e+06  0.000374  2.45824e+06  0.00125    812   0.007773   0.000312  R      Literature  0.014363  0.000186  0.132453  0.118233  0.000749  0.01422   0.001297  1.13   1.15  0.00167   0.212802  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45568e+06  0.001168  2.45568e+06  0.0011      95   0.00225   -0.002851  Clear  Database    0.019251  0.000466  0.161233  0.123567  0.002335  0.037666  0.004045  0.82   4.68  0.005319  2.41589   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45569e+06  0.00111   2.45569e+06  0.0008      99   0.002679  -0.002436  Clear  Database    0.013095  0.000511  0.132262  0.118637  0.00222   0.013625  0.003844  0.9    5.81  0.005974  0.655882  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45605e+06  0.001009  2.45605e+06  0.00082    199   0.002245  -0.003199  Clear  Database    0.016859  0.000417  0.138306  0.107233  0.002018  0.031072  0.003496  1.08   2.16  0.003138  0.066822  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45609e+06  0.001223  2.45609e+06  0.00153    211   0.011159   0.005676  R      Database    0.017618  0.000792  0.119424  0.105395  0.002445  0.014029  0.004235  1.16   2.38  0.004261  0.220303  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45645e+06  0.001674  2.45645e+06  0.00233    312   0.009142   0.003327  Clear  Database    0.022343  0.000983  0.155452  0.133787  0.003349  0.021665  0.0058    1.12   2.71  0.005778  6.00571   BC00010     1  iiiixiiiixiiiixiiiixiiiix
2.45859e+06  0.000737  2.45859e+06  0.00087    909   0.008478   0.000698  Clear  Database    0.014373  0.000355  0.129676  0.114121  0.001473  0.015555  0.002552  1.14   1.22  0.002369  1.76463   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45863e+06  0.001034  2.45863e+06  0.00106    921   0.008554   0.000735  R      Database    0.018855  0.000591  0.125291  0.104486  0.002068  0.020805  0.003582  1.38   2.05  0.003586  0.303308  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45787e+06  0.000417  2.45787e+06  0.000417   708   0.008267   0.001148  R      ThisStudy   0.014501  0.000198  0.134794  0.119115  0.000833  0.015679  0.001443  0.62   0.97  0.001505  1.59085   BC00000     0  wasp37_20170427_T100
2.459e+06    0.000917  2.459e+06    0.000917  1023  -0.002792  -0.010947  Clear  ThisStudy   0.023453  0.000604  0.1482    0.128447  0.001834  0.019753  0.003176  2.02  10.12  0.007066  0.306985  BC00011     1  wasp37_20200528_UT50
2.45929e+06  0.000539  2.45929e+06  0.00065   1105   0.01104    0.002615  Clear  Database    0.014492  0.000268  0.132643  0.118346  0.001078  0.014297  0.001867  0.41   1.56  0.002185  2.06377   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45933e+06  0.001076  2.45933e+06  0.00109   1115   0.008306  -0.000152  Clear  Database    0.017969  0.000486  0.14268   0.115267  0.002152  0.027414  0.003727  2.13   1.8   0.003248  1.551     BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45935e+06  0.000582  2.45935e+06  0.00069   1122   0.011399   0.002918  Clear  Database    0.015358  0.000271  0.131828  0.112471  0.001164  0.019357  0.002016  1.07   1.38  0.002036  1.24524   BC00000     0  iiiixiiiixiiiixiiiixiiiix
