          0         1            2         3     4          5          6  7      8                  9        10        11        12        13        14        15    16    17        18        19  20         21  22
2.45599e+06  0.000976  2.45599e+06  0.00106    126   0.001519  -0.0006    Clear  Database    0.022704  0.000904  0.0933    0.077862  0.001953  0.015437  0.003382  0.7   3.73  0.005961  0.45215   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45608e+06  0.000925  2.45608e+06  0.00102    156   0.004237   0.001963  Clear  Database    0.017722  0.000752  0.091939  0.080094  0.001849  0.011845  0.003203  0.65  2.22  0.004246  1.00497   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45609e+06  0.000801  2.45609e+06  0.00127    161   0.006477   0.004177  Clear  Database    0.01621   0.000564  0.094178  0.081098  0.001602  0.01308   0.002774  0.71  2.44  0.003781  0.847042  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45612e+06  0.000498  2.45612e+06  0.00065    171   0.005784   0.003433  Clear  Database    0.02019   0.000442  0.097344  0.0852    0.000995  0.012144  0.001724  0.71  1.81  0.002977  1.08178   BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45616e+06  0.000847  2.45616e+06  0.00111    184   0.002591   0.000173  Clear  Database    0.019032  0.000733  0.095264  0.083684  0.001695  0.01158   0.002935  0.47  5.64  0.006727  0.722882  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45616e+06  0.001391  2.45616e+06  0.0032     186   0.002842   0.000414  Clear  Database    0.023446  0.001048  0.114843  0.094294  0.002783  0.020549  0.00482   0.8   9.08  0.009981  6.63216   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45639e+06  0.000848  2.45639e+06  0.00097    268   0.003808   0.000957  Clear  Database    0.020261  0.000635  0.09947   0.081526  0.001696  0.017943  0.002937  0.81  4.97  0.00587   0.679255  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45641e+06  0.000792  2.45641e+06  0.00096    275   0.002528  -0.000359  Clear  Database    0.023161  0.000712  0.096958  0.08044   0.001584  0.016518  0.002744  0.62  5.51  0.006626  0.773316  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45645e+06  0.000699  2.45645e+06  0.0008     288   0.002137  -0.000817  Clear  Database    0.023844  0.000532  0.10826   0.085162  0.001399  0.023098  0.002422  0.73  4.88  0.00524   0.236053  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45645e+06  0.000417  2.45645e+06  0.00066    288   0.002965   1.1e-05   R      Database    0.01964   0.000291  0.101081  0.081599  0.000834  0.019481  0.001445  0.82  1.27  0.001925  6.36168   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45645e+06  0.000978  2.45645e+06  0.00101    290   0.004165   0.001201  Clear  Database    0.020356  0.000696  0.100212  0.079708  0.001955  0.020504  0.003387  0.42  5.39  0.006255  0.627354  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4565e+06   0.000763  2.4565e+06   0.00104    308  -0.000269  -0.003326  Clear  Database    0.016609  0.000555  0.097377  0.085119  0.001527  0.012258  0.002644  0.37  3.81  0.004884  0.983678  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45656e+06  0.000987  2.45656e+06  0.00107    329   0.002373  -0.000792  R      Database    0.016607  0.000821  0.088675  0.078528  0.001974  0.010147  0.00342   0.8   2.57  0.004406  1.77347   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45671e+06  0.000868  2.45671e+06  0.0015     383   0.003595   0.000152  Clear  Database    0.020179  0.000818  0.091615  0.080192  0.001736  0.011423  0.003006  0.49  4.79  0.006295  3.34894   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45673e+06  0.001309  2.45673e+06  0.00143    388  -0         -0.003469  Clear  Database    0.015887  0.001055  0.08219   0.071287  0.002618  0.010903  0.004534  0.74  5.58  0.007654  2.25243   BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45681e+06  0.0011    2.45681e+06  0.001      418   0.003576  -4.8e-05   R      Database    0.020815  0.000803  0.097693  0.076378  0.0022    0.021315  0.003811  1.1   1.83  0.003619  0.943223  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45683e+06  0.000673  2.45683e+06  0.00073    423   0.006279   0.002629  Clear  Database    0.020158  0.000595  0.091149  0.077763  0.001346  0.013386  0.002331  1.15  2.9   0.003881  0.178326  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45688e+06  0.001047  2.45688e+06  0          443   0.001778  -0.001975  Clear  Database    0.020376  0.000851  0.095311  0.079492  0.002094  0.015819  0.003627  0.93  2.67  0.00488   0.635016  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4569e+06   0.000688  2.4569e+06   0          448   0.0019    -0.001878  Clear  Database    0.01785   0.000619  0.086879  0.076617  0.001375  0.010262  0.002382  0.63  3.43  0.004327  1.00539   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45692e+06  0.000723  2.45692e+06  0.00085    457   0.003122  -0.000703  Clear  Database    0.017929  0.000536  0.096021  0.081732  0.001446  0.014289  0.002504  0.3   9.54  0.00713   0.789157  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45693e+06  0.000999  2.45693e+06  0.0011     462   0.002543  -0.001307  Clear  Database    0.012256  0.000632  0.091324  0.082198  0.001998  0.009127  0.003461  0.84  3.41  0.004149  0.324435  BC00010     1  iiiixiiiixiiiixiiiixiiiix
2.45713e+06  0.000429  2.45713e+06  0.00049    531   0.005485   0.001279  Clear  Database    0.015137  0.000307  0.092062  0.081049  0.000858  0.011013  0.001486  0.44  2.69  0.002893  0.749342  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45716e+06  0.000675  2.45716e+06  0.00073    541   0.001816  -0.002442  Clear  Database    0.018322  0.00055   0.092669  0.08006   0.001349  0.012609  0.002337  0.56  4.55  0.004956  1.4848    BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45717e+06  0.000707  2.45717e+06  0.00076    546   0.004609   0.000326  Clear  Database    0.016717  0.000499  0.094107  0.080099  0.001414  0.014008  0.002448  0.53  4.02  0.004538  0.96739   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45724e+06  0.000426  2.45724e+06  0.00042    571   0.003546  -0.000866  Clear  Database    0.020581  0.000294  0.102516  0.080412  0.000853  0.022104  0.001477  1.65  0.71  0.001363  1.18337   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45724e+06  0.000781  2.45724e+06  0.00135    571   0.00501    0.000598  R      Database    0.024009  0.000638  0.106709  0.086834  0.001561  0.019875  0.002704  1.39  1.36  0.002666  0.665965  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45725e+06  0.001348  2.45725e+06  0.00119    576   0.009863   0.005425  Clear  Database    0.018452  0.001048  0.093247  0.078987  0.002696  0.01426   0.004669  1.1   1.2   0.003629  1.00804   BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45746e+06  0.002481  2.45746e+06  0.00149    649  -0.000788  -0.005602  Clear  Database    0.020886  0.001766  0.098363  0.075577  0.004963  0.022786  0.008596  1.95  2.45  0.005398  0.343534  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45747e+06  0.001317  2.45747e+06  0.00155    654   0.003918  -0.000922  Clear  Database    0.016131  0.001014  0.093532  0.082964  0.002633  0.010568  0.004561  1.05  2.48  0.004751  0.274272  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45753e+06  0.000312  2.45753e+06  0.00038    675   0.004647  -0.000301  Clear  Database    0.017587  0.000261  0.092185  0.081364  0.000623  0.010821  0.001079  0.61  1.17  0.001775  1.34204   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45754e+06  0.000932  2.45754e+06  0.0009     679   0.004485  -0.000484  Clear  Database    0.018298  0.000647  0.096293  0.078611  0.001864  0.017682  0.003228  1.07  1.55  0.002979  0.150394  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45754e+06  0.000999  2.45754e+06  0.00128    679   0.007002   0.002033  Clear  Database    0.01919   0.000728  0.097988  0.080844  0.001998  0.017144  0.003461  1.08  1.47  0.003412  0.192864  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45754e+06  0.0005    2.45754e+06  0.00071    680   0.005544   0.00057   Clear  Database    0.018505  0.000406  0.094856  0.082244  0.001     0.012612  0.001731  0.27  3     0.004007  2.91477   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45757e+06  0.001038  2.45757e+06  0.00107    689   0.003484  -0.001536  Clear  Database    0.015879  0.000718  0.09505   0.082221  0.002076  0.012829  0.003595  1.35  2.04  0.004019  0.178237  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4576e+06   0.00047   2.4576e+06   0.00085    699   0.00154   -0.003532  V      Database    0.018135  0.000324  0.096192  0.078494  0.00094   0.017699  0.001629  0.58  1.42  0.002251  0.178349  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45763e+06  0.000299  2.45763e+06  0.00034    709   0.006041   0.000918  Clear  Database    0.018288  0.000219  0.096864  0.081507  0.000598  0.015357  0.001035  0.75  1.04  0.001526  1.93826   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45763e+06  0.000409  2.45763e+06  0.00046    710   0.003496  -0.001632  Clear  Database    0.019326  0.000293  0.100664  0.083235  0.000817  0.017429  0.001415  0.67  2.61  0.002756  1.62411   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45785e+06  0.001     2.45785e+06  0.00137    791   0.003678  -0.001868  V      Database    0.018738  0.000716  0.109042  0.094541  0.002001  0.014501  0.003465  0.58  3.18  0.005176  0.597049  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45785e+06  0.000876  2.45785e+06  0.00098    791   0.007372   0.001826  Clear  Database    0.021512  0.000681  0.101558  0.083128  0.001753  0.01843   0.003036  0.98  6.1   0.007029  1.45729   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45788e+06  0.000546  2.45788e+06  0.00069    801   0.005281  -0.000316  Clear  Database    0.017637  0.000465  0.090852  0.080175  0.001092  0.010677  0.001891  0.77  4.5   0.004821  0.207172  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4579e+06   0.000763  2.4579e+06   0.00076    808   0.004372  -0.001261  R      Database    0.019048  0.000707  0.08896   0.078146  0.001526  0.010814  0.002643  0.56  1.15  0.002712  2.09518   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4579e+06   0.001707  2.4579e+06   0.00056    808   0.004598  -0.001035  Clear  Database    0.017996  0.001111  0.102871  0.084836  0.003415  0.018036  0.005914  1.63  0.93  0.002263  2.01944   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4579e+06   0.000582  2.4579e+06   0.0007     808   0.007128   0.001495  Clear  Database    0.022674  0.000633  0.087331  0.075877  0.001164  0.011454  0.002016  0.95  2.18  0.00354   2.31204   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45792e+06  0.0003    2.45792e+06  0.00035    813   0.006703   0.001044  Clear  Database    0.020628  0.000229  0.099278  0.081399  0.0006    0.017878  0.001039  1.24  1.24  0.001827  0.787152  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45792e+06  0.000671  2.45792e+06  0.00076    813   0.007807   0.002148  Clear  Database    0.017786  0.000525  0.093253  0.080361  0.001343  0.012892  0.002326  1.63  1.27  0.002681  0.698939  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45794e+06  0.000878  2.45794e+06  0.00103    821   0.005433  -0.000267  Clear  Database    0.020433  0.000757  0.095193  0.081393  0.001756  0.0138    0.003042  0.79  6.01  0.007655  0.308451  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45795e+06  0.000498  2.45795e+06  0.00053    826   0.005951   0.000225  Clear  Database    0.019475  0.000383  0.095461  0.079266  0.000996  0.016195  0.001724  0.55  2.15  0.002816  0.9744    BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45801e+06  0.000861  2.45801e+06  0.00082    846   0.004039  -0.00179   Clear  Database    0.020708  0.000625  0.102149  0.082421  0.001721  0.019728  0.002981  0.83  5.93  0.00649   0.226821  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45803e+06  0.000384  2.45803e+06  0.00042    853   0.006474   0.000609  Clear  Database    0.020022  0.000306  0.097979  0.082692  0.000769  0.015288  0.001332  0.57  1.24  0.001865  0.819823  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45803e+06  0.000902  2.45803e+06  0.00117    853   0.006988   0.001123  Clear  Database    0.018459  0.000745  0.097323  0.08565   0.001805  0.011673  0.003126  0.21  6.06  0.007286  0.788112  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45804e+06  0.000256  2.45804e+06  0.00028    858   0.005952   6.1e-05   I      Database    0.020433  0.000211  0.095267  0.079945  0.000512  0.015322  0.000887  1.03  2.04  0.002098  1.30999   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45806e+06  0.001201  2.45806e+06  0.00127    863   0.006185   0.000268  Clear  Database    0.017199  0.000829  0.097794  0.082797  0.002402  0.014997  0.00416   0.47  3.91  0.005753  0.248283  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45828e+06  0.000637  2.45828e+06  0.0007     942   0.005513  -0.000811  Clear  Database    0.02117   0.000449  0.1065    0.085368  0.001274  0.021132  0.002206  0.92  3.87  0.004253  0.064002  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45829e+06  0.000766  2.45829e+06  0.00072    946   0.005557  -0.000787  Clear  Database    0.019824  0.000573  0.096525  0.078673  0.001532  0.017852  0.002654  0.9   1.47  0.002955  0.100157  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45829e+06  0.000378  2.45829e+06  0.00042    946   0.007314   0.00097   I      Database    0.0311    0.000317  0.107949  0.066264  0.000757  0.041685  0.001311  1.08  1.4   0.002071  1.7987    BC00010     1  iiiixiiiixiiiixiiiixiiiix
2.45829e+06  0.000527  2.45829e+06  0.00058    947   0.007414   0.001065  Clear  Database    0.021239  0.000414  0.097951  0.079632  0.001053  0.018319  0.001824  0.57  3.32  0.003707  3.65078   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4583e+06   0.00064   2.4583e+06   0.00091    951   0.007199   0.000829  Clear  Database    0.020716  0.000608  0.091733  0.079821  0.00128   0.011912  0.002217  0.77  3.04  0.004197  2.03603   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45833e+06  0.000722  2.45833e+06  0.00089    961   0.004613  -0.001809  Clear  Database    0.020893  0.00055   0.099227  0.080491  0.001444  0.018735  0.002502  1.07  1.45  0.002588  0.081097  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45833e+06  0.000698  2.45833e+06  0.00074    961   0.006019  -0.000403  Clear  Database    0.020897  0.000552  0.097454  0.080002  0.001396  0.017452  0.002418  0.91  2.52  0.003709  1.58656   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45833e+06  0.000455  2.45833e+06  0.00059    961   0.006175  -0.000247  Clear  Database    0.019457  0.000412  0.092602  0.081238  0.00091   0.011364  0.001575  0.43  1.85  0.002978  0.450461  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45834e+06  0.000393  2.45834e+06  0.00217    963   0.00575   -0.000682  R      Database    0.020234  0.000307  0.096301  0.079463  0.000786  0.016839  0.001361  2.11  0.66  0.001413  1.30341   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45834e+06  0.000558  2.45834e+06  0.00065    966   0.008055   0.001608  Clear  Database    0.021315  0.000512  0.091889  0.078069  0.001116  0.01382   0.001933  0.7   2.34  0.003291  1.94434   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45836e+06  0.000347  2.45836e+06  0.0004     971   0.007426   0.000953  I      Database    0.020512  0.000252  0.100549  0.080887  0.000694  0.019662  0.001202  0.71  1.2   0.001697  1.30861   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45837e+06  0.000967  2.45837e+06  0.00105    976   0.005763  -0.000736  Clear  Database    0.02173   0.000888  0.089668  0.074659  0.001935  0.015009  0.003351  0.71  3.47  0.005159  4.89838   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45837e+06  0.000403  2.45837e+06  0.00053    976   0.007091   0.000592  I      Database    0.018966  0.000309  0.096078  0.080927  0.000806  0.015151  0.001397  0.87  1.88  0.002361  1.24941   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45839e+06  0.001122  2.45839e+06  0.00135    981   0.007405   0.00088   Clear  Database    0.016469  0.000901  0.091227  0.080826  0.002244  0.010402  0.003887  0.39  4.04  0.006259  0.718723  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4584e+06   0.000757  2.4584e+06   0.00063    986   0.006452  -9.8e-05   R      Database    0.019082  0.000564  0.092287  0.074723  0.001514  0.017564  0.002622  1.12  1.49  0.002688  1.0126    BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4584e+06   0.0005    2.4584e+06   0.00057    986   0.006867   0.000317  Clear  Database    0.022185  0.000385  0.102907  0.082954  0.000999  0.019953  0.001731  0.73  1.62  0.002589  2.2965    BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45844e+06  0.002092  2.45844e+06  0.00301   1000   0.011021   0.004398  V      Database    0.024444  0.00165   0.118999  0.099732  0.004184  0.019267  0.007247  1.01  6.82  0.01061   1.69562   BC00011     1  iiiixiiiixiiiixiiiixiiiix
2.45859e+06  0.001175  2.45859e+06  0.00116   1055   0.000954  -0.005952  R      Database    0.037401  0.000789  0.135441  0.06772   0.002349  0.06772   0.004069  1.67  3.49  0.005122  1.05415   BC00011     1  iiiixiiiixiiiixiiiixiiiix
2.45869e+06  0.001275  2.45869e+06  0.00133   1089   0.007042  -3.9e-05   R      Database    0.017552  0.001055  0.09325   0.082314  0.002551  0.010937  0.004418  0.64  1.29  0.003993  0.298032  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45872e+06  0.000796  2.45872e+06  0.00098   1099   0.007083  -5e-05     Clear  Database    0.017101  0.000612  0.094487  0.082513  0.001591  0.011974  0.002756  0.62  4.19  0.005236  1.22637   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45872e+06  0.000388  2.45872e+06  0.00042   1100   0.007222   8.4e-05   Clear  Database    0.019671  0.000306  0.095547  0.079997  0.000776  0.01555   0.001345  0.59  2.39  0.002832  5.35344   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45894e+06  0.00054   2.45894e+06  0.00057   1178   0.007593   5.3e-05   R      Database    0.019689  0.000443  0.094069  0.079627  0.00108   0.014442  0.00187   0.75  1.96  0.002864  1.02808   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45895e+06  0.000479  2.45895e+06  0.00063   1183   0.007011  -0.000554  Clear  Database    0.017919  0.000398  0.093632  0.082359  0.000958  0.011273  0.001659  0.64  1.88  0.00274   1.94962   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45897e+06  0.001303  2.45897e+06  0.00122   1188   0.004186  -0.003405  Clear  Database    0.022294  0.000902  0.11408   0.09138   0.002607  0.0227    0.004515  2.12  1.6   0.003643  1.1982    BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45897e+06  0.001104  2.45897e+06  0.00168   1188   0.011246   0.003655  Clear  Database    0.021655  0.000971  0.103323  0.089841  0.002207  0.013482  0.003823  0.64  5.89  0.007538  6.41645   BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45899e+06  0.001355  2.45899e+06  0.00186   1198   0.007705   6.2e-05   Clear  Database    0.020236  0.001149  0.093448  0.079034  0.002711  0.014414  0.004695  1.3   2.76  0.005913  3.63352   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45564e+06  0.000221  2.45564e+06  0.00038      1   0.000977  -0.000498  i'     Literature  0.018751  0.000169  0.096779  0.082076  0.000442  0.014703  0.000766  0.6   0.79  0.001106  0.841677  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45566e+06  0.000279  2.45566e+06  0.00053      6   0.001034  -0.000467  i'     Literature  0.01835   0.000222  0.09471   0.081672  0.000558  0.013038  0.000966  0.41  0.93  0.001513  2.04097   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45657e+06  0.000249  2.45657e+06  0.000745   330   0.004564   0.001394  clear  Literature  0.018257  0.000204  0.094151  0.08197   0.000498  0.012181  0.000863  0.38  1.86  0.002144  0.427641  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4573e+06   0.000513  2.4573e+06   0.00115    591   0.003939  -0.000576  Rc     Literature  0.020633  0.000369  0.10171   0.081447  0.001026  0.020263  0.001778  1.02  1.37  0.002353  1.20719   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45908e+06  0.000646  2.45908e+06  0.00061   1228   0.008493   0.000696  Clear  Database    0.024372  0.000473  0.103415  0.073248  0.001291  0.030166  0.002236  0.76  1.64  0.002577  2.41032   BC00010     1  iiiixiiiixiiiixiiiixiiiix
2.45911e+06  0.000237  2.45911e+06  0.00028   1238   0.008419   0.00057   Clear  Database    0.019259  0.000184  0.09619   0.080964  0.000473  0.015226  0.00082   0.76  0.88  0.001268  0.834346  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45916e+06  0.00059   2.45916e+06  0.00059   1258   0.008184   0.000232  Clear  Database    0.0181    0.000473  0.094361  0.081928  0.001181  0.012433  0.002045  0.5   2.05  0.002986  0.626267  BC00000     0  iiiixiiiixiiiixiiiixiiiix
