          0         1            2         3     4          5          6  7      8                 9        10        11        12        13        14        15    16    17        18        19  20         21  22
2.45739e+06  0.000739  2.45739e+06  0.00114   -513   0.005078   0.000749  I      Database   0.010799  0.000536  0.067792  0.060476  0.001477  0.007316  0.002558  0.46  1.93  0.003027  0.645276  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45778e+06  0.001829  2.45778e+06  0.00109   -372   0.0047     0.001142  R      Database   0.01312   0.000583  0.118766  0.071347  0.003658  0.04742   0.006336  0.52  1.92  0.003326  1.69061   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45813e+06  0.001299  2.45813e+06  0.00086   -248   0.003083   0.000203  R      Database   0.010461  0.000332  0.124028  0.084397  0.002598  0.03963   0.0045    0.87  0.8   0.001411  0.325651  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45816e+06  0.000895  2.45816e+06  0.00081   -238   0.007018   0.004192  V      Database   0.010105  0.000196  0.138619  0.092728  0.001789  0.045891  0.003099  0.69  0.8   0.001167  2.14517   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4582e+06   0.001318  2.4582e+06   0.00128   -224   0.001265  -0.001484  V      Database   0.061834  0.000364  0.175369  0.087684  0.002635  0.087684  0.004564  1.11  1.44  0.002223  5.70567   BC00010     1  iiiixiiiixiiiixiiiixiiiix
2.45853e+06  0.001687  2.45853e+06  0.00151   -105  -0.003033  -0.005131  R      Database   0.048709  0.000672  0.124854  0.062427  0.003375  0.062427  0.005845  0.7   9.69  0.007437  2.75535   BC00011     1  iiiixiiiixiiiixiiiixiiiix
2.45854e+06  0.004447  2.45854e+06  0.00162   -100  -0.005574  -0.007644  R      Database   0.023681  0.000972  0.116646  0.058323  0.008894  0.058323  0.015405  1.16  1.21  0.003437  1.02773   BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45857e+06  0.001563  2.45857e+06  0.00135    -90   0.000354  -0.001662  V      Database   0.009286  0.000361  0.121163  0.081701  0.003125  0.039462  0.005413  1.35  1.33  0.002035  5.90162   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45882e+06  0.000913  2.45882e+06  0.00077      0  -0.000552  -0.002075  V      Database   0.014502  0.000277  0.113179  0.056589  0.001827  0.056589  0.003164  1.24  0.92  0.001413  3.12129   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45882e+06  0.000573  2.45882e+06  0.00089      0  -4e-06     -0.001527  Clear  Database   0.007759  0.000306  0.07438   0.068165  0.001146  0.006215  0.001986  0.1   4.97  0.004119  1.12204   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45888e+06  0.000933  2.45888e+06  0.00098     20   0.000404  -0.00101   V      Database   0.011468  0.000266  0.120143  0.079614  0.001867  0.040529  0.003233  0.78  1.08  0.001547  2.44044   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45889e+06  0.00057   2.45889e+06  0.00104     25   0.004768   0.003381  Clear  Database   0.004885  0.000247  0.062745  0.058396  0.001139  0.004349  0.001973  0.04  0.63  0.00136   4.42152   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45889e+06  0.000499  2.45889e+06  0.00059     25   0.006741   0.005354  Clear  Database   0.012206  0.000159  0.122463  0.089582  0.000998  0.032881  0.001729  0.67  1.24  0.001301  0.939663  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.4589e+06   0.001375  2.4589e+06   0.00111     29   0.001161  -0.000204  Clear  Database   0.006859  0.000309  0.106083  0.083955  0.00275   0.022128  0.004762  0.94  1.16  0.001761  4.26316   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45895e+06  0.000698  2.45895e+06  0.00087     44   0.004749   0.003466  Clear  Database   0.008975  0.000214  0.10667   0.086887  0.001396  0.019783  0.002418  0.23  1.44  0.001658  3.66284   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45853e+06  0.001577  2.45853e+06  0.001577  -104   0.002669   0.000576  R      ThisStudy  0.012025  0.000407  0.129289  0.064645  0.003153  0.064645  0.005461  0.45  4.33  0.003951  0.797605  BC00000     0  hatp56_20190217_T35
2.4588e+06   0.000556  2.4588e+06   0.000556    -9   0.004178   0.002606  R      ThisStudy  0.010799  0.00014   0.125039  0.07795   0.001113  0.047089  0.001928  0.47  0.46  0.000727  1.49049   BC00000     0  hatp56_20191109_T100
2.45922e+06  0.000787  2.45922e+06  0.00063    144   0.001425   0.000689  R      Database   0.011097  0.000205  0.120561  0.06028   0.001574  0.06028   0.002727  0.94  0.94  0.001272  1.55866   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45922e+06  0.000777  2.45922e+06  0.00066    144   0.00143    0.000694  R      Database   0.011066  0.000203  0.119615  0.059807  0.001555  0.059807  0.002693  1.06  0.46  0.000897  2.7156    BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45929e+06  0.001588  2.45929e+06  0.0016     168  -0.00171   -0.002314  R      Database   0.011226  0.000463  0.121903  0.088419  0.003177  0.033485  0.005502  1.31  1.79  0.002751  5.25274   BC00000     0  iiiixiiiixiiiixiiiixiiiix
