          0         1            2         3      4          5          6  7            8                  9        10        11        12        13        14        15    16     17        18         19  20         21  22
2.45677e+06  0.001015  2.45677e+06  0.001      -800  -0.004295  -0.001405  Clear        Database    0.010954  0.000434  0.108398  0.094497  0.002029  0.013901  0.003515  0.64   1.68  0.003016   0.704528  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45685e+06  0.00126   2.45685e+06  0.00138    -719  -0.003768  -0.001177  V            Database    0.015915  0.000578  0.128523  0.105755  0.00252   0.022768  0.004364  1.51   1.88  0.003525   0.126721  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45712e+06  0.002295  2.45712e+06  0.00183    -426  -0.011778  -0.010265  Clear        Database    0.008962  0.000869  0.09425   0.080297  0.00459   0.013953  0.00795   1.62   3.87  0.005995   2.90686   BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45718e+06  0.001199  2.45718e+06  0.00171    -358  -0.003368  -0.002105  R            Database    0.016862  0.000709  0.110413  0.092898  0.002399  0.017514  0.004154  1.14   1.12  0.002767   0.377974  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45718e+06  0.001466  2.45718e+06  0.00126    -357   0.00171    0.002969  R            Database    0.213328  0.000935  0.186564  0.093282  0.002931  0.093282  0.005077  3.86   2.93  0.005292   0.456461  BC01011     1  iiiixiiiixiiiixiiiixiiiix
2.4575e+06   0.000975  2.4575e+06   0.00091      -8   0.001134   0.001108  Clear        Database    0.011403  0.00047   0.109451  0.098011  0.00195   0.01144   0.003378  1.11   1.45  0.002934   0.242459  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45752e+06  0.000998  2.45752e+06  0.00109       6  -0.001058  -0.001135  Clear        Database    0.012997  0.000514  0.115962  0.103676  0.001997  0.012286  0.003458  0.3    6.94  0.006894   2.91402   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45752e+06  0.001246  2.45752e+06  0.00118       6  -0.002038  -0.002115  Clear        Database    0.015464  0.00059   0.121012  0.099585  0.002492  0.021427  0.004316  0.6   10.84  0.008592   3.11464   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45753e+06  0.001039  2.45753e+06  0.00117      20  -0.000336  -0.000465  Clear        Database    0.012615  0.000526  0.115242  0.103193  0.002078  0.012049  0.003599  0.7    2.23  0.003926   1.21716   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45785e+06  0.000971  2.45785e+06  0.00104     367   0.001985   0.000579  Clear        Database    0.01317   0.000508  0.11533   0.103036  0.001943  0.012293  0.003365  0.84   1.47  0.003064   0.250418  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45788e+06  0.000753  2.45788e+06  0.00086     394   0.001198  -0.000307  Clear        Database    0.013685  0.000353  0.1198    0.103289  0.001505  0.01651   0.002607  0.8    1.11  0.002118   0.131585  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45793e+06  0.000516  2.45793e+06  0.00066     450   0.00358    0.001868  I            Database    0.015234  0.000242  0.119979  0.098688  0.001032  0.021291  0.001787  1.31   1.1   0.001617   1.55789   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45793e+06  0.000488  2.45793e+06  0.00067     450   0.003761   0.002049  I            Database    0.01527   0.000225  0.120719  0.09847   0.000976  0.022249  0.001691  0.77   2.24  0.002256   1.67438   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45827e+06  0.000768  2.45827e+06  0.00071     821   0.005876   0.002799  Clear        Database    0.017107  0.000348  0.128636  0.100182  0.001536  0.028454  0.00266   0.73   3.67  0.00394    0.419682  BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.4583e+06   0.001059  2.4583e+06   0.00121     853   0.006204   0.003009  I            Database    0.010664  0.000416  0.110747  0.095241  0.002118  0.015505  0.003669  0.58   2.02  0.003108   2.5347    BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45861e+06  0.000521  2.45861e+06  0.00061    1187   0.007442   0.003018  Clear        Database    0.01196   0.000257  0.113159  0.101615  0.001042  0.011545  0.001805  0.6    1.21  0.001926   3.47093   BC00001     1  iiiixiiiixiiiixiiiixiiiix
2.45864e+06  0.00078   2.45864e+06  0.00069    1215   0.005341   0.000814  Clear        Database    0.01187   0.000329  0.118154  0.102707  0.001559  0.015446  0.0027    1.3    1.82  0.002421   4.96448   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45864e+06  0.000799  2.45864e+06  0.00088    1215   0.006724   0.002197  Clear        Database    0.014993  0.000406  0.117846  0.100503  0.001597  0.017343  0.002766  0.88   1.49  0.002324   2.60904   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.4587e+06   0.001202  2.4587e+06   0.00133    1283   0.003012  -0.001766  Clear        Database    0.017303  0.00053   0.126406  0.093387  0.002404  0.033019  0.004164  0.89   5.45  0.00564    3.00176   BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45678e+06  0.000207  2.45678e+06  0.00022    -791  -0.001831   0.001025  I            Literature  0.012325  0.000104  0.111114  0.099057  0.000414  0.012057  0.000717  0.6    0.56  0.000754   0.951707  BC00000     0  iiiixiiiixiiiixiiiixiiiix
2.45677e+06  0.000154  2.45677e+06  0.00017    -804  -0.002688   0.000216  R            Literature  0.012729  8.2e-05   0.110446  0.09886   0.000308  0.011586  0.000534  1.33   0.36  0.000623   0.953414  BC00000     0  iiiixiiiixiiiixiiiixiiiix
